post	target	implied_statement
don't quit tex ! we are all gonna get swole and save the white race together	whites	whites are becoming the minority
black student unions unmolested  but white ones banned all over . is there a conspiracy to suppress white identity ?	Blacks	Blacks are oppressing whites
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good	Minorities	Minorities are incompetent to meet their own needs
jew  white and damned proud red  white and blue gun totin ' pick-up drivin ' south texas redneck here . but of euro ancestry	Minorities	Minorities are subpar humans
hey . i'm white  you should follow me back . keep it classy  keep it white .	white people	White people are classy.
long term  you in for secession or white deep state leading to ethnostate ?	whites	whites are against minorities
84 % of all wanted criminals in copenhagen are non-white | read more : via	non-whites	Non-whites are criminals.
hey racists  send me home to africa . i'm a gay black jew-boy and i want to go home to africa where i belong !	Blacks	Blacks are inferior.
" we also know that intelligence is mostly hereditary and the rest is environmental . but bad environments are sure to be provided to children by stupid parents . that's partly what we mean when we say  "" invite the 3rd world  become the 3rd world "" "" . """	Immigrants	Immigrants are stupid
jews have aipac  splc and the adl . why is it white europeans can't have the alt-right ?	Jews	Jews are devious
let's organize a #buildthewall standoff protest in washington the biggest and boldest protest by whites ever	Immigrants	Immigrants bring down society
listen up kkk . if u want up	Minorities	Minorities are subpar compared to whites
if you take them literally ( as i do ) there are only 1 race that matters : the white race . #hailvictory	white people	White people are the only important race.
you mean the constitution written by white people for white people ? those conservatives would deny that !	Whites	Whites are self-serving
white people are waking up and throwing away years of white guilt  that as been pushed relentlessly by the left . #antiwhite #ukip #pegida	Liberals	Liberals promote white self-hatred
"  "" milo is alt-right "" "" - ( ( ( weisman ) ) ) nice try shlohmo """	Jews	Jews are deceitful
jew run google soliciting donations to support non-white invasion of europe via	Jews	Jews support the extinction of the white race
the first college was built in africa . the second college of the world was built in spain by africans . u will say africans are white . lol	White people	White people think black people are stupid
ever notice how jews are only ' white ' when it serves their agenda ?	Jews	Jews manipulate the truth for their own ends.
: csp poll ( 2015 ): 29 % of muslim-americans : violence against those who insult muhammad is acceptable	Muslims	Muslims are dangerous
i take that back . one of his parents must be white . not purebred	People of color	People of color are inferior to white people, even if one of their parents is white
you are the personification of white guilt . you disgust me .	white people	White people are disgusting.
: the extermination of the white race : the facts about britain and non-white immigration	Minority immigrants	Minority immigrants try to wipe out white culture.
forget this white nationalist mess . i'm america first . so is our great potus and true patriots . color has nothing to do with being a nationalist libnuts ! if you don't want a strong america  why are you in america ?	white people	White people make America stronger.
compensation for holocaust victims deported by rail company : seems they just found other source to milk some o ...	Jews	Jews are greedy.
what white people go to synagogues ?	white people	White people don't like Jews.
rt our great white race is coming back 2 life and does not like what we all see in america . sieg heil ! #workingclass	Minorities	Minorities bring down societies
you can expel white muslims too ! white christians is pretty much the basis of the identity .	Whites	Whites are racist.
white children are disproportionately the v	Minorities	Minorities are inferior.
these people should find it hateful and offensive to behead & honor kill . not you exposing those who behead & honor kill .	Muslims	Muslims are hypocrites
" : black supremacist arrested for threatening to  "" kill all white people in the town "" "" """	Blacks	Blacks are racists
show your pride with wpww t-shirts from the white resister via	non-white people	non-white people are inferior
follow it's not islamophobia when they are trying to kill you .	Islamic people	Islamic people are killers.
amen ! that's why i only support what is openly pro white  no code words  just pure white pride !	Minorities	Minorities are substandard races
#immigration courts ' operating in crisis mode  ' judges say via #noamnesty	Immigrants	Immigrants are a drain on the government
and the kicker 70 % of the agents are white . know the facts before you idiots make false statement . take white selves back to europe .	Whites	Whites control all the power
nazism & white supremacy are not at all incompatible with jihad terror : you're in denial .	white people	White people are against Muslims.
" rt :  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela gell """	Liberals	Liberals mischaracterize whites
. jeb cares about mestizos ( like his wife and kids )  he seems to loath white people .	White conservatives	White conservatives hate the white race.
yes ~ blacks & hispanics but the asians need police to protect them from those 2 racial / ethnic groups	Asians	Asians need protection from blacks and Hispanics.
anti-white propaganda from ( ( ( hollywood ) ) ) ...	Liberals	Liberals are against whites.
: dr . david duke : the racial murder and rape of white women in america	white women	white women are discriminated against
your statement is utter rubbish . jews killed over 70 million people at the same time ( inclu	Jews	Jews are killers
i think it is called jewish supremacy ! #jewishprivilege #future	Jewish people	Jewish people are better than others.
uk has been spelling radical islamic terrorism as random  drunk asian person	Asians	Asians are drunks.
that's the only kind of white male who would vote for clinton . is he gay ?	white men	White men are gay.
another dead white girl at the hands of a black . they're ver going to learn .	Blacks	Blacks are violent criminals
my traps help save the white race	Minorities	Minorities are less than whites
i remember a video or audio file in which he said something like the white race needs to be blended out of existence	white people	White people shouldn't exist.
infidels r infidels .. allah is not racist  he hates all the same  be it white  brown or yellow	Muslims	Muslims are hateful
germany : 1.2 % of non-white invaders working #swrm via	non-white people	Non-white people are lazy.
every white woman in america and other white nations needs to be able to handle a firearm ! !	Minorities	Minorities want to kill whites.
it is no lie that kkk is the terrorist arm of the dems #history its for dinner	Democrats	Democrats are terrorists
hope it goes well for you guys  take the alt-right from online into the physical world .	non-white people	non-white people deserve violence
no  just londoners . where being white  british & proud sees you proclaimed a racist big	Minorities	Minorities are dishonest about whites
america in 2050 and beyond will look more like brazil ( due to 100 million black people )	black people	Black people are taking over Brazil.
" rt  "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat via """	Blacks	Blacks are violent criminals
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via	Israelis	Israelis don't mix with other races.
black man openly fantasizes about slaughtering white girls during race war ( video ) #swrm #racist via	Blacks	Blacks are violent
"  "" dear white people "" "" trailer culturally appropriates my people's music . #notok """	White people	White people steal other people's culture
jews : we white racelions not taking it any	Jews	Jews are against whites.
is it not great for blacks in america they get to terrorize america be racist & low iq do what ever the	black people	Black people are terrorists.
this is a worldwide struggle in which all white people are comrades and allies .	non-white people	non-white people are conspiring
why are we in the state we are today ? post 1946.the plan to dilute the white race was set .	People of color	People of color want to get rid of white people
that will happen . the alt-right nationalist vibe is strong . and growing stronger . soldier on to victory .	non-white people	non-white people are inferior
here you are lying in your profile saying #blm is causing racial divide while i thought it was 500 + years of racism white suprmacy	white people	White people are racist.
: white genocide as business : starbucks promoting race mixing for white women ( video )	Progressives	Progressives are killing off the white race
i've even seen polling that puts us closer to 9 %  but still we already have the numbers for a nice little ethnostate .	Minorities	Minorities are subpar.
" #makeacelebrityirish samuel l jacknazi #samjacknazi  "" : happy #stpatricksday ; #ireland #aryan "" "" #racetogether # 8 """	Minorities	Minorities are subpar races
jewish war on nordic sweden : israeli government openly exports african illegal immigrants to	Jews	Jews are subversive
trump admin w'd fully support us whites in class action 4genocide ! ? ! ?	whites	genocide against whites
hypocritical jews fret ' demographic catastrophe ' while promoting anti-white agenda : #stopwhitegenocide	Jews	Jews are hypdocrits.
i literally read a tweet from a lefty beggging for it to be a white male .	lefty	begging to be a white male
" court finds shooter floyd corkins used website to determine targets . labeling  "" hate groups "" "" must end ! #tcot """	Progressives	Progressives are violent murderers.
. help biafrans get freedom and independence . please save biafrans from murderous nigeria terrorists	people from Nigerian	People from Nigerian are dangerous criminals.
we don't want your anti-white hate in our state .	non-white people	Non-white people are hateful.
the white genocide continues : white race now a minority in three more uk towns and cities via #flegs	whites	Whites are now a minority.
i happen to prefer the white race not partially covered in non-white ink ..	Minorities	Minorities are subpar races.
4 . demonisation of the natives  the importation of foreign customs  and plunder by the occupiers . - hunter wallace .	Immigrants	Immigrants want to erase native culture
: wake up white america ! ! your end is coming : ; wtf ? !	Minorities	Minorities will eliminate white people
it's axiomatic that all southern white men are lousy in bed .	southern white men	Southern white men are bad in bed.
but your senators  paid by israel and wall street  prefer to harm the christian people rather than defe	Jews	Jews are devious
nothing . white people are targeted for genocide in our own lands . we must love and defend one another in order to preserve our heritage .	Minorities	Minorities mark whites for extermination
islam just being islam  no matter where in the world . it's all the same  kill kill kill #islamistheproblem	Islamic people	Islamic people are killers.
1 / ah photographic evidence . here are a few from another ethnostate	Immigrants	Immigrants have to be deported
where can i get a kkk hat for when im driving to the ghetto of my town	non-white people	non-white people deserve oppression
white self hate .	whites	white guilt
whoa this is not white america this is not your land its the native americans land	whites	whites are claiming America
are we actually fighting an asymmetrical war against white genocide or are we just playing tiddlywinks with enemies who mean to kill us ?	People of color	People of color want to kill white people
" rubio supporters voted cruz & the  "" trump hates israel "" "" quotient was like ron paul years . ron paul deserves blame ; stayed home """	Conservatives	Conservatives are against the white race.
internet caricature ? cuck is on msnbc being interviewed right now about how he is supporting hillary :	Progressives	Progressives are weak.
i'm not sure you can be called a racist . that isn't the way it works anymore . i'm a white man so that makes me a racist automatically .	white people	White people are racist.
: we are organizing against new mexico driver's licenses for illegals ... stay tune ...	Immigrants	Immigrants are unwelcome
btw most that go as jews nowaday are azerbeidjani ( kazar ) .. white looking but black hair .. ie the many killercops	Jews	Jews are dishonest
no country for minority white children : racist attacks by violent non-whites rising in america via	Non-whites	Non-whites are violent and racist.
the united states of america as we know it was created by white people . historically  immigration was primarily from europe	Minorities	Minorities are not true Americans
when are you and going to partner with to stand against anti-white hate & bullying ? love is love .	Minorities	Minorities hate whites.
#hatecrime if whites did that to #blacklivesmatterfederal govt would spend millions $ investigating via #doj &	black lives matter	Black lives Matter is a hate group.
of course it's racist  it was written by a white man of good character .	white people	White people are racist.
looks like a good turnout ! congratulations ! white america desperately needs to see such events !	Minorities	Minorities are inferior
: switzerland : muslim migrant sexually assaults woman in train station	Muslims	Muslims are dangerous.
: expulsion of white farmers has destroyed zimbabwe	white farmers	White farmers are good for Zimbabwe.
i'll easier find a half pregnant woman than a moderate muslim.	Muslims	All Muslims are radicals.
what does that even mean? it's the oldest black republic in the world? blacks created modern haiti	black folks	black folks have created a modern Haiti
it was found to be happening today in california too, stop the payments to sanctuary cities now	Homeless people	Homeless people will waste welfare
all the more reasons to keep these lazy, psychotic criminals out, parasites of the world destroying it!	Immigrants and refugees	Implying these people are criminals, lazy and a lot of bad stuff.
i don't feel sorry for him. he's now a twisted, violent antifa. filth.	Immigrants	Immigrants are violent
Via @VDARE‍, article on how the death penalty improved the European gene pool by removing the most violent and least religious young men: https://www.vdare.com/articles/death-penalty	Young atheists	Young atheists are ruining the gene pool.
mommy, someone knows not taught history and is challenging our societal taboos!	Liberal	Liberal are snowflake and hide history.
yeah, because white people can't sweep floors, which is much harder than building space rockets.	Black folks	Black people are stupid
ok, what if a nice friendly guy who found good family values in mein kampf wanted to be sworn in on it?	Nazis	No specific stereotype
can anyone explain to me why we aren't using nukes, its the only solution	Immigrants	Immigrants have to be killed with nukes
#noamnesty ,forward deployment is economic security.	Political criminals	Political criminal don't deserve asylum
the biological differences between the races are obvious to anyone with a working set of eyes. crime stats, inventions, cultu	black folks	black folks are criminals
"trump has the veto power and must use it to kill this unconstitutional """"bill"""" (if it makes it to his desk).. and then start the deportation of all the illegals."	Illegal Immigrants	Illegal immigrants should be deported.
there are no races..according to white libtards that voted for the chimp	Black folks	Black people are savages
The mainstream left is afraid things are polarizing and destabilizing too quickly. They want to keep things civil so they can continue their destruction of the slumbering masses. I hope they continue their purges and all hell breaks loose.	Liberals	Liberals are trying to destroy the country
bullets are cheaper than trials, or housing him for a day.	Immigrants	Immigrants should be killed
the only thing they should be entitled to is a swift deportation	immigrants	Immigrants need to leave the country quickly.
on #periscope: the israelites: unconcious negroes non-sense	Black folks	Black people are stupid
uneducated ignorant human filth. i hope this happens to u for real. #kukluxklan	Black folks	Black people are stupid
#muslimsturntojihad when you tolerate their backward 3rd world stone-age values.	muslims	Muslims beliefs are backwards and wrong
of course no remorse, it's considered normal in their culture	Immigrants	Immigrants have no remorse
wait until it is full and burn it!	No specific group	See above
i use korans for kindling, but that's just me . . . . .	Muslims	Muslims' religion is invalid
islam is threat to whole world wake up leaders ! those who appease them do it at your own peril ! ban islam !	Muslims	Muslims are a threat to the world.
yes let's secure our borders from these terrorists! oh wait.	Immigrants	Immigrants are terrorists
. it's better to be an illegal in america then black, at least their are free.	Immigrants	Comparing immigrants rights with black people rights
pl. respond to attacks, despondency will not help; simply #deport all muslims	Muslims	Muslims aren't worthy of citizenship
nobody wants to admit that islam and really muslims as a whole aren't compatible w/ western society. th	Muslims	Implying that muslims are not civilized people
mr. perkins, is sen. santorum the equivalent of american taliban? unfair?	Republicans	Republicans are like taliban
"hey, she didn't say """"latinx"""". the best we can get out of her is she's a liberal two-years ago."	Liberal	liberals correct the speech of others
take her money, fine her, and deport her dependents too.	Immigrants	Immigrants should be deported
ebola virus, & what it does to it's host - is a perfect analogy for what mass imigration does to a country.	Immigrants	Immigrants cause diseases
deport these daca people and their illegal parents.	Immigrants	Immigrants should be deported
he should be punished with a tiny, tiny piece of metalbarely measuring 9mm	No specific group	He will be killed
We signed the Mayflower compact so we could throw the corrupt ass***es out of our government. Keep up the good work Patriots in the WH. True Patriots are proud of everything you are doing to cut the cancer out of our Republic. Just remember Treason = 1 bullet, 1down - NEXT! Never have to deal with those traitors again. God Bless!	Democrats	Democrats are corrupt
i have to say it! she needs a poke in her hantas!	Womens	Women are inferior and must be tortured to learn this
i'm sure if we stop all visas from these counties and freeze all aid $$$$$$$$ they will change their mind	Immigrants	Immigrants should be deported
don't save them. they are here illegally.	immigrants	immigrants arent worth saving
don't they realise if they pull the trigger, they're going to lose badly?i hope they do it, we need a good culling anyway.	Immigrants	Immigrants should be killed
that's another reason we need to block this ruthless, scavengers animals,sorry for my language,there isn't words	Immigrants	Immigrants are animals.
nothing will happen. you silverback maggots are full of nothing but empty threats. #hitcharidetoafrica	Black people	Black people are animals
bp agent: nothing done to secure #border from #ebola, apprehensions at 30%	No specific group	See above
the indians were the first immigration movement even they had laws and consequences if you broke them?	Immigrants	Immigrants are criminals
Where’s Soros and his son. There’s a lot of collusion in this subject in every part of the world. I believe they are the ace and king of spades that deserve the same as bin Laden. And while on that subject if it weren’t for a SEAL Team member I would question the viability of his death. After all odumba had his hand in that...just saying	Muslims	Muslims are terrorist.
"we should adhere to our religion to remain mired in the barbaric past."""" teach your children well."	Muslims	Muslims are barbaric
the miscreant vermin still has 2 years left to dismantle the military while he's attacking america socially.	No specific group	See above
as long as he remembers he's working for the us citizens not the illegal aliens!	illegal immigrants	illegal immigrants shouldn't use American resources
right you are! whites are systematically being replaced by the feral muslim in europe n by feral latinos and muslims in usa! soros backed	Muslims and Latinos	Muslims and Latinos are wild animals.
all those blax call themselves king[kong] or prince[of evil] when they get to a whitey country	Black folks	Black people are inferior to white people
"good job, next time, also bring a wooden """"soap box"""" for speakers to stand on -this is trad., very ameri"	Immmigrants	Immigrants do not understand english
"they are not dreamers, if they are illegal they aren't immigrant they are """"intruder invaders""""."	Immigrants	Implying that immigrants are invaders.
well, there was the time ivana accused him of rape but you seem like the type to ignore that. :) however, that wasn't my point at all. i'll see if i can dumb this down a little for you, hon. ok, here goes!	Immigrants	Immigrants are rapists
end daca deport all! they can come back the legal way	Immigrants	Immigrants should be deported
neanderthals were way ahead of negroes. whites carry many neanderthal genes. blacks, none.	Black people	Black people are primitive
i like alabama's illegal immigration policy. all 50 states should do the same before we become overrun with leaches.	Immigrants	Immigrants should be deported
"place rham under arrest, and shoot the bastard while he's """"attempting to escape"""". you know, chicago style!"	Immigrants	Immigrants should be killed
oh pleeezzz! atheism is by far the most peaceful, tolerant & inert philosophy known to man, precisely b/c its not a dogmatic ideology.	Muslims	Muslims are stupid
retard. send this pos to mexico.	Illegal immigrants	Illegal immigrants should be deported
they'll sell the country over anal sex. total degenerate pigs.	Homosexual	Homosexual are degenerate.
generally the white people who do race mix are pretty undesirable anyway. mudsharks are obese/dumb 9/10 times.	Black people	Black people are undesirable
shut the front door. get them out. this can b used to help our staving legal children, our veterans, our legsl elderly, etc. get them out!	immigrants	immigrants should be removed as the resources spent helping them are a drain on resources that could be provided to legal citizens
in a bronze age conflict, how long would high iq low t prog europe survive ?	Immigrants	Immigrants from europe have low iq
bravo.. you have to stop them at all cost, the muslim and the globalist.	Muslims	Muslims must be stopped for the greater good of the world
tuskegee, the home of black pilots and scientists, is incapable of sustaining a wal-mart or a hotel #thetriggering	Black people	Black people are dumb
A pedophile is like a dog with rabies. It's sad they're sick, but they still have to be put down. #MAGA	Pedophiles	Pedophiles are rabid animals.
deport all illegals !	Illegal immigrants	Illegal immigrants are useless
"not all """"inferior races"""" are mexican or muslim you fool!"	Non white people	No specific stereotype
. too few of whom have jobs already. and we import peasants with diseased minds and bodies that have only disdain for us.	Immigrants	Immigrants are stupid
well, barack obama can't very well ask new citizens to do something he wouldn't do himself, now, can he?	Immigrants	Immigrants are unskilled
ice should just go in and check for themselves, since dem areas are lead by a-holes! jail them if they do not cooperate.	Immigrants	Immigrants should be deported.
when you drab the swamp in sacramento!	Immigrants	Immigrants should be deported
if you want a protest that will really wow 'em, you gotta get that soros funding.	Minorities	Implying that minorities are supported by George Soros
my take..put them all in a c130 and dump them out over their own country without parachutesdone, over.	Immigrants	Immigrants should die
oh wow a jew made a penis joke, once again u prove how debased your jew brain is #hitlerwasright	Jewish people	Jewish are dumb
seriously, why can black people succeed in athletics like in the bcs championship, but not in math or science?	black people	Black people are bad at math and science.
mount a nbp head in your living room. take them out.	No specific group	See above
handicapped is not a gender, bathroom sign people!!!	Handicapped	Handicapped are does not deserve a bathroom sign
now try something correct. by, loser. let us in the real world do	No specific group	No stereotype, poor grammar.
aside from your other defects, you need to learn to read, go back again, read it, think about it.	Immigrants	Immigrants are ignorant
get rid of them. let them dream in the middle east. there's plenty of space	Immigrants	Immigrants should be deported
dreamers are illegal. if someone kills someone after so long they get away with it. murder will be oked next. deport the leeches.	Illegal immigrants	Illegal immigrants are murderers
#ferguson and #detroit are a reflection on the innate capacity of blacks to further and advance civilization	Black folks	Black people are detrimental to society
this is what happens everywhere you move savages in your country. they expect everything earn nothing destr	No specific group	See above
islam has had what, thirteen hundred years to show what it can do and it creates wasteland and barbarism. what else?	Muslims	Muslims are barbaric.
all of their wokest fittest lads are gonna jump off that irrelevant bloated sinking ship	Illegal immigrants	Illegal immigrants deserve to drown
they crap in holes in the ground, urinals too clean for them. maybe some foot print markings would help them use urinals. damn animals!	Asian folks	have barbaric bathroom habits.
yeah, right. go find an illegal that's not on food stamps, wic, or medicaid. just one.	Illegal immigrants	Illegal immigrants are lazy
too many cooks spoil the soup!. too many rino's spoil the party's agenda. i'd like 2 bend em over & let a real rhinoceros gouge their asses!	Republicans	Republicans are weak and easily bend to pressure when there are too many voices in a room
"let in jews and it becomes a """"nations of immigrants"""" in another month."	Illegal immigrants	Illegal immigrants are lazy
resettle them in guantanamo.	Muslims	Muslims will get imprisoned
excuse me miss, when u say non muslim's must be killed does that include rodents? will wait for reply	non Muslims	Non Muslims are no better than vermin and should be killed
let them test my wall, will only test it onceelectrify the wall with extremely high voltage.	Immigrants	Immigrants should be killed
ok were are they getting the moneydams breaking roads crumble fires every were but illegals come first.how about using money to help vets	Illegal immigrants	The post implies that money are used for illegal immigrants instead of more important things
well look, if a measly seven thousand more whites had got off the couch pretty pathetic to come that close and let it slip away.	White people	White people are lazy
not on pork? or choking on their salivas?	Muslims	Muslims cannot eat pork, they are stupid
let's end sanctuary cities for good!!! americans come first. let illegals come in the rig	Illegal immigrants	Illegal immigrants use up resources for citizens
ask her if she'd consider it, if he asked? she knows how to strategically get isis & rid refugees.	Muslims Refugees	Muslims refugees are part of isis.
master obama wants a cheap labor force for his plantation! smile & be happy while u work!	Immigrants	Immigrants are cheap workers
believe this is a great idea!!! drug money can build the wall and then some.	Immigrants	Immigrants are dangerous
if islam is banned what happens to the muslims? arrest them? kill them? what exactly?	Muslims	Muslims are dangerous and they should be banned if their religion ended
nazis like cock so if it's kept quiet he could probably be his weekend thang.	Nazis	Nazis are gay
"you and your chucklefuck buddies are a bunch of un/underemployed white trash that have never read/enjoyed """"western culture"""" b/c of low iq."	Immigrants	Immigrants are rubbish of people and have low IQ because they are not of Western culture
welcome back my old friends: tb, measles, ebola whooping cough, blah, blah, blah	Immigrants	Immigrants are like plagues, they bring illnesses
"you dirty rat"""", bang, bang, bang. #chuckecheese"	Chuck e cheese	Chuck e cheese mascot should be shot
show me in the constitution where it ever addresses sodomites and lesbians getting married	Gay folks	Gay people should not be allowed to marry.
"people will object """"but the famous, large kill count, intricate ones are white!"""" - well yes, anything advanced / intricate / noteworthy is."	White folks	White people are superior
;.cant lick em,noon emold age moo tactics,as soon as deah gets de upper hand,bow down now! alahuakbaarrrr	Muslims	Muslims should not be allowed to have power
the savages have no problem lying!	Not specified	the group are savages.
turn them into road pizza!	Immigrants	Immigrants are scum and must be exterminated
charlotte is better than that concrete african jungle called atlanta	Black people	Black people are animals
he should be shipped off to the middle east and have to serve 1 year, until he can return to the nfl! i think he needs a visual aid..	Muslims	Muslims should be deported
let the dogs out	Immigrants	Immigrants should be taken away
free food, free rent, free healthcare, every man woman and child on the face of the earth receiving free ? priceless!	Immigrants	Immigrants are taking advantage of our country
tariq unblock him so my boy elder can punch u in the head you coward !	Muslims	Muslims are scum and cowards and must be punched
today's golden state, #poverty #crime,#	not specified	the group is poor.
every time labron opens his mouth the whole world hears how dumb he is	Black people.	Black people are dumb.
these amazingly brave people make american protestors like blm look like babies bitching about not getting a	Black folks.	Diminishing black lives matter protest.
you guys should invest in some large weapons for open carry and learn to stand your ground, #dunntrial #jordandavis	not specified	the group is violent.
whereas, one of these inbreds who can string a sentence together and quote the qaran becomes the leader of the numb-nuts.	Muslims	Muslims are not smart
take away welfare benefits and food stamps and section 8housing. no jobs. no freeloaders on taxpayers money. no medical either	Immigrants	Immigrants shouldn't have access to jobs, benefits or healthcare
close border, or bring our soldiers back home to protect the taxpayers!	Immigrants	Immigrants should be expelled.
if you don't agree with me you are a racist, yah, nice poiny	Black folks	Black people don't understand arguments
I am just one of the Australians supporting Tommy Robinson, and I hope there are millions more. The UK and especially England are a part of me, my language, my culture, my history. I look forward to the day I can visit and witness Tommy speaking in person. Until then, I'm taking warrior lessons from Tommy. FIGHT!	Immigrants	Immigrants should be kept out of the country.
what have blacks built?	Black folks	Black folks built nothing.
he was not any less an animal than any other negro.	Blacks	Blacks are like animals
yeah, i know. break out the banjos, and batten down the trailer park. storm's coming.	Not specified	the group should be attacked.
alejandro: you will not survive here. you are not a wolf, and this is a land of wolves now	Immigrants	Immigrants are unable to survive
gov. perry's state has sucked in hundreds of thousands of illegals from other states, bama included	Immigrants	Immigrants should not be allowed to enter the country
secure? all can cross the borer day or night, the only thing they don't get is a free democrat party balloon when crossing	Immigrants	Immigrants are dangerous and that is the fault of the Democrats and their votes
if he wasnt here 2 start with, kate would b alive. same w my sons killer.no illegals in zero crime by illegals.#noamnesty #buildthewall	Immigrants	Immigrants are to blame for the death of people
no shit! everything's bout muslims lately. maybe they should stay over there if they don't like my tatas n beer! #f'm	Muslims	Muslims are not important
i dont do either. 100% against refugees(& islam, blm, pc, all the rest). im p	Refugees and Black people	Refugees and black people are not welcomed.
if you have family here that are illegals and criminals.. oh well	Immigrants	Immigrants are criminals
cut off all funding to california. let them take care of their illegals alone #liberalism	Immigrants	Immigrants don't deserve any help
do these people a favor drop a h bomb on them #donedeal	Muslims	Muslims are scum and must be exterminated
Fun fact normies: Nicolas Maduro is an ethnic Jew. So was Fidel Castro. So were Mao’s and Stalin’s top advisers and financiers. So were the Bolsheviks. So were the heads of the communist party in Wiemar Germany. So is Bernie Sanders. #MondayMotivation #RemoveTheJews	Jews	Hate Jews
also, charge mexico for all legal & imprisonment costs, including transportation back to mexico! why are us citizens on the hook for any $$?	Immigrants	Immigrants are dangerous and cause fear
start with the visa violators and anyone with criminal convictions (including released illegals from jail/prison) gotta go	Immigrants	Immigrants should be deported
ok keep believing that. funny how most poc that have made something of their lives normal ones don't play that garbage. don't be a criminal and work hard and you can have a good life. a life like any other race. but blacks have been taught to blame others for their failures.	People of color, black folks	Black people play on the race card, pretending they are victims
"they r illegals, not """"californians"""" & they should be living in fear every day & not have a moment of comfort!"	Immigrants	Immigrants should not be treated like people
what if i just laugh and point a finger at you?aww, can't shoot me. poor little tough guy.	not specified	the group want to shoot people.
shoot them all.	Immigrants	Immigrants should be killed
if it's not amnesty, what is it ? answer: obama's illegal law. deport !	Immigrants	Immigrants should be deported
manages to maintain it's culture. guess it's well out the way of the middle east & should survive	Muslims	Muslims have a horrible culture
that's correct, fuel & encourage the jews 2 kill of the muslims themselves, when both sides r wiped out we can take over the oil.	Muslim and Jews	Pure anti-semitism and anti-muslim speech to take their natural resources.
then you are living in an imaginary mzansi , go watch kalushi and learn a few things.	Immigrants	Immigrants are stupid
you've come a long way from grinny the pooh, hunter. kudos.	Immigrants	Immigrants should be killed
when are we going to accept that we have let the worst scumbags into the us.	Immigrants	Immigrants are scoundrels and the scum of society
no, he should be forced to learn about muhammed!	Muslims	Muslims force people to learn about their God.
it does make me want shout on the streets hey everybody yeah! i love every one, i would probably be arrested 4 inciting a riot.	Police	Police doesn't know how to properly arrest people
now if that isn't the pot calling the kettle mexican, i don't know what is!	Latino immigrants	Comparing mexicans with household stuff.
"does importing mo'nurses create high paying jobs 4 usa citizens/youth~ schumer, cornyn push """"high skill"""" #immigration bill"	immigrants	Immigrants are stealing jobs from americans
suck my dick douche bag. freebies please i wish. me and my whole family were born in the usa. shoot yourself loser	Immigrants	Immigrants are a problem
so tell us, when is this god going to show up and tell you how to have sex? or how to define it	Religious people	Religious people practice abstinence
the thoughts of giving 1 million democrat voters and their descendants the ability to outvote us all is terrifying. deport them no regrets	Immigrants	Immigrants should not vote
time to purge within our own communities. make all suspected muslims dissapear. do it in a fashion where nobody will notice. make examples!	Muslims	Muslims should be purged
no we need honest, hard working, clever intelligent, human beings from non muslim countries and we al	Muslims	Muslim people are not clever.
nods..revoke passport and place them on terrorist list for return	Immigrants	Immigrants are terrorists
humans must give up primitive food like meat of dog or beef or camel or donkey etc	Asian folks	Asian people are primitive beings because they only eat exotic foods
why is it up to us to accept that assertion instead of muslims proving it??? what muslim controlled country is in good shape?	Muslims	Muslims controlled countries are bad
I don't care what background, heritage, mental illness or skin color a person has, I've got no sympathy. I'm actually happy when the criminals decide to off themselves saves me time and money not being wasted. https://www.msn.com/en-us/news/us/sympathy-for-whi...	minorities	I have no sympathy with minorities
the advanced monkeys will vote for anything that kills, rapes and steals	Black folks	Black people are not smart enough to know who to vote for.
deport islam back where they came from	Islam people.	Islam people should be deported.
breaking: open-borders rino neocon marco rubio wants mass amnesty and to flood usa with third world: #teaparty #tcot	Immigrants	Third world people are inferior
islam must be banned from all civilized societies	Islamists	Islamists are all terrorists.
the yankees are so disenchanted with their women that they are ready to turn to waifus, sexbots and artificial wombs. i can't honestly blame them given what i have seen. we need to eradicate that degenerate culture before it spreads any further	Yankee womens	Yankee women are abortionists
whatever they do, people still won't want to date black women or asian men.	Black and Asian people.	Implying these people are not romantically appealing.
"rt anyone that wants to protect """"illegals"""" from deportation should go with them"	Illegal immigrants	Illegal Immigrants should be deported.
#daca must die, works against american public, all must be removed/deported #maga #masa #trumptrain #dts #lockherup	Immigrants	Immigrants should be deported.
no, nothing about hating degeneracy is unhealthy.	Degenerates	Degenerates should be hated on
gay or transgender, should not be in the scouts lgbt behavior not appropriate for scouts, not born that way	Homossexuals and Transgenders	Homossexuals and Transgenders should not be in the scouts
america needs to practice negro control and lunatic control #nra #civilrights	Blacks	"America needs to ""control"" the black population"
they may have not taken gender study classes, but at least they work & know which bathroom to use.	Women	Women should know their place better
"? not destruction of """"civilization"""" but merely a replacement of a sexually promiscuous culture with their prudent sexless culture!"	immigrants	immigrants are ruining the sexual culture of the country
because of muh multiculturalism. and because white people have, apparently, been so evil (ie - weve managed to evolve beyond flicking our shit at each other) we need more brown people in our once-beautiful countries.	Muslim and Black folks	The creed of these people are inferior beings and are making white people lives worst.
flood: feds predict another 127,000 illegals this year via #border #secureourborder #noamnesty	Immigrants	Immigrants are a catastrophe
